clusterName,clusterSize,f_score,recall,PPV,TN,FP,FN,TP,marker_count,markers,onTarget
151 TH Prkcd Grin2c Glut,2100,0.7183418512208972,0.4819047619047619,0.8187702265372169,247388,224,1088,1012,2,"['Ramp3', 'Synpo2']",0.1047936007380485
152 RE-Xi Nox4 Glut,700,0.4400510204081632,0.1971428571428571,0.6359447004608295,248933,79,562,138,4,"['Jam2', 'Nbl1', 'Calb1', 'Shox2']",0.0386894568800926
153 MG-POL-SGN Nts Glut,298,0.5352480417754569,0.2751677852348993,0.7008547008547008,249379,35,216,82,3,"['Nts', 'Cartpt', 'Gbx2']",0.1295202523469925
154 PF Fzd5 Glut,800,0.7771739130434782,0.53625,0.8755102040816326,248851,61,371,429,2,"['Fzd5', 'Shox2']",0.2044266462326049
155 PRC-PAG Pax6 Glut,1137,0.6786850477200423,0.337730870712401,0.9078014184397164,248536,39,753,384,3,"['Barhl1', 'Pax6', 'Tcf7l2']",0.0498121306300163
156 MB-ant-ve Dmrta2 Glut,354,0.4155672823218997,0.1779661016949152,0.6237623762376238,249320,38,291,63,4,"['Dmrta2', 'Emx2', 'Mei4', 'Cda']",0.0774718672037124
157 RN Spp1 Glut,48,0.6018518518518519,0.2708333333333333,0.8666666666666667,249662,2,35,13,2,"['C1ql2', '4930445B16Rik']",0.1948292702436447
158 MRN-PAG Nkx6-1 Glut,235,0.6425702811244981,0.4085106382978723,0.75,249445,32,139,96,3,"['Pax5', 'Sim1', 'Gpr149']",0.0631261020898819
159 IF-RL-CLI-PAG Foxa1 Glut,675,0.5588452997779423,0.2237037037037037,0.893491124260355,249019,18,524,151,3,"['Dmrta2', '9030622O22Rik', 'Adgrv1']",0.1621355861425399
160 PAG-SC Neurod2 Meis2 Glut,797,0.5995274660366214,0.2547051442910916,0.90625,248894,21,594,203,3,"['Sox6', 'Pde3a', 'Shox2']",0.0268333964049816
