cell_set_accession	cell_label	Add_to_CL
CS20230722_SUBC_129	129 VMH Nr5a1 Glut	
CS20230722_SUBC_130	130 LHA Pmch Glut	
CS20230722_SUBC_131	131 LHA-AHN-PVH Otp Trh Glut	
CS20230722_SUBC_132	132 AHN-RCH-LHA Otp Fezf1 Glut	
CS20230722_SUBC_133	133 PVH-SO-PVa Otp Glut	
CS20230722_SUBC_134	134 PH-ant-LHA Otp Bsx Glut	
CS20230722_SUBC_135	135 STN-PSTN Pitx2 Glut	
CS20230722_SUBC_136	136 PMv-TMv Pitx2 Glut	
CS20230722_SUBC_137	137 PH-an Pitx2 Glut	
CS20230722_SUBC_138	138 PH Pitx2 Glut	
CS20230722_SUBC_139	139 PH-LHA Foxb1 Glut	
CS20230722_SUBC_140	140 PMd-LHA Foxb1 Glut	
CS20230722_SUBC_141	141 PH-SUM Foxa1 Glut	
CS20230722_SUBC_142	142 HY Gnrh1 Glut	
CS20230722_SUBC_143	143 MM-ant Foxb1 Glut	
CS20230722_SUBC_144	144 MM Foxb1 Glut	
CS20230722_SUBC_145	145 MH Tac2 Glut	
CS20230722_SUBC_146	146 LH Pou4f1 Sox1 Glut	
CS20230722_SUBC_147	147 AD Serpinb7 Glut	
CS20230722_SUBC_148	148 AV Col27a1 Glut	
CS20230722_SUBC_149	149 PVT-PT Ntrk1 Glut	
CS20230722_SUBC_150	150 CM-IAD-CL-PCN Sema5b Glut	
CS20230722_SUBC_151	151 TH Prkcd Grin2c Glut	
CS20230722_SUBC_152	152 RE-Xi Nox4 Glut	
CS20230722_SUBC_153	153 MG-POL-SGN Nts Glut	
CS20230722_SUBC_154	154 PF Fzd5 Glut	
CS20230722_SUBC_155	155 PRC-PAG Pax6 Glut	
CS20230722_SUBC_156	156 MB-ant-ve Dmrta2 Glut	
CS20230722_SUBC_157	157 RN Spp1 Glut	
CS20230722_SUBC_158	158 MRN-PAG Nkx6-1 Glut	
CS20230722_SUBC_159	159 IF-RL-CLI-PAG Foxa1 Glut	
CS20230722_SUBC_160	160 PAG-SC Neurod2 Meis2 Glut	
CS20230722_SUBC_161	161 PAG Pou4f3 Glut	
CS20230722_SUBC_162	162 CUN Evx2 Lhx2 Glut	
CS20230722_SUBC_163	163 APN C1ql2 Glut	
CS20230722_SUBC_164	164 APN C1ql4 Glut	
