software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,markers,onTarget
4.1,supertype,0097 SUB-ProS Glut_2,300,0.3170731707317073,0.4,0.17333333333333334,249334,78,248,52,3,"['ENSMUSG00000052581', 'ENSMUSG00000019929', 'ENSMUSG00000090356']",0.0009972775587812066
4.1,supertype,0098 SUB-ProS Glut_3,200,0.0,0.0,0.0,249509,3,200,0,3,"['ENSMUSG00000105279', 'ENSMUSG00000032511', 'ENSMUSG00000055540']",0.0
4.1,supertype,0099 L5 PPP Glut_1,50,0.5165289256198348,0.5208333333333334,0.5,249639,23,25,25,2,"['ENSMUSG00000038331', 'ENSMUSG00000056078']",0.5055901408195496
4.1,supertype,0100 CA2-FC-IG Glut_1,50,0.5,0.5,0.5,249637,25,25,25,2,"['ENSMUSG00000038793', 'ENSMUSG00000001741']",0.22238904237747192
4.1,supertype,0101 CA2-FC-IG Glut_2,100,0.5232558139534883,1.0,0.18,249612,0,82,18,3,"['ENSMUSG00000001741', 'ENSMUSG00000041046', 'ENSMUSG00000020524']",0.021487539634108543
4.1,supertype,0102 NLOT Rho Glut_1,50,0.30303030303030304,1.0,0.08,249662,0,46,4,2,"['ENSMUSG00000051079', 'ENSMUSG00000019913']",0.5114040374755859
4.1,supertype,0103 L6b EPd Glut_1,100,0.41015624999999994,0.5384615384615384,0.21,249594,18,79,21,3,"['ENSMUSG00000020000', 'ENSMUSG00000022372', 'ENSMUSG00000090675']",0.01691286638379097
4.1,supertype,0104 L6b EPd Glut_2,100,0.6153846153846154,0.8,0.32,249604,8,68,32,3,"['ENSMUSG00000059173', 'ENSMUSG00000046593', 'ENSMUSG00000019997']",0.040139369666576385
4.1,supertype,0105 L6b EPd Glut_3,150,0.37234042553191493,0.6363636363636364,0.14,249550,12,129,21,4,"['ENSMUSG00000070509', 'ENSMUSG00000019997', 'ENSMUSG00000020542', 'ENSMUSG00000022464']",0.03967975452542305
4.1,supertype,0106 L6b/CT ENT Glut_1,200,0.273972602739726,0.6956521739130435,0.08,249505,7,184,16,3,"['ENSMUSG00000066652', 'ENSMUSG00000001985', 'ENSMUSG00000074776']",0.0
4.1,supertype,0107 L6b/CT ENT Glut_2,200,0.25793650793650796,1.0,0.065,249512,0,187,13,3,"['ENSMUSG00000073530', 'ENSMUSG00000019997', 'ENSMUSG00000079017']",0.0
4.1,supertype,0108 L6b/CT ENT Glut_3,150,0.13157894736842105,0.5,0.03333333333333333,249557,5,145,5,4,"['ENSMUSG00000029335', 'ENSMUSG00000019997', 'ENSMUSG00000021464', 'ENSMUSG00000023484']",0.012063388712704182
4.1,supertype,0109 L6b/CT ENT Glut_4,150,0.03246753246753247,1.0,0.006666666666666667,249562,0,149,1,3,"['ENSMUSG00000017144', 'ENSMUSG00000034903', 'ENSMUSG00000048215']",0.0
4.1,supertype,0110 L6b CTX Glut_1,150,0.09036144578313253,0.75,0.02,249561,1,147,3,3,"['ENSMUSG00000076498', 'ENSMUSG00000019997', 'ENSMUSG00000022372']",0.07097725570201874
4.1,supertype,0111 L6b CTX Glut_2,200,0.24621212121212124,0.8125,0.065,249509,3,187,13,4,"['ENSMUSG00000036437', 'ENSMUSG00000039116', 'ENSMUSG00000019997', 'ENSMUSG00000020181']",0.04167862981557846
4.1,supertype,0112 L6b CTX Glut_3,200,0.4545454545454545,0.7346938775510204,0.18,249499,13,164,36,3,"['ENSMUSG00000039116', 'ENSMUSG00000019997', 'ENSMUSG00000090675']",0.08234453946352005
4.1,supertype,0113 L6b CTX Glut_4,50,0.5821917808219179,0.7083333333333334,0.34,249655,7,33,17,2,"['ENSMUSG00000053368', 'ENSMUSG00000037185']",0.4376733899116516
4.1,supertype,0114 L6 CT CTX Glut_1,250,0.10791366906474821,0.8571428571428571,0.024,249461,1,244,6,5,"['ENSMUSG00000026315', 'ENSMUSG00000047945', 'ENSMUSG00000029563', 'ENSMUSG00000092090', 'ENSMUSG00000076498']",0.0
4.1,supertype,0115 L6 CT CTX Glut_2,200,0.40076335877862596,0.5185185185185185,0.21,249473,39,158,42,3,"['ENSMUSG00000078591', 'ENSMUSG00000037185', 'ENSMUSG00000023046']",0.0021780740935355425
