supertype_id	supertype_label	supertype_id_label	subclass_id	subclass_label	subclass_id_label	class_id	class_label	class_id_label	division_id	division_label	division_id_label	neighborhood	nt_type_label	cell_set_accession.supertype
24	L4/5 IT CTX Glut_2	0024 L4/5 IT CTX Glut_2	6	L4/5 IT CTX Glut	006 L4/5 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:38,IT-ET:38	Glut	CS202212150_5219
25	L4/5 IT CTX Glut_3	0025 L4/5 IT CTX Glut_3	6	L4/5 IT CTX Glut	006 L4/5 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:38,IT-ET:38	Glut	CS202212150_5220
26	L4/5 IT CTX Glut_4	0026 L4/5 IT CTX Glut_4	6	L4/5 IT CTX Glut	006 L4/5 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:38,IT-ET:38	Glut	CS202212150_5221
27	L4/5 IT CTX Glut_5	0027 L4/5 IT CTX Glut_5	6	L4/5 IT CTX Glut	006 L4/5 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:38,IT-ET:38	Glut	CS202212150_5222
28	L4/5 IT CTX Glut_6	0028 L4/5 IT CTX Glut_6	6	L4/5 IT CTX Glut	006 L4/5 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:38,IT-ET:38	Glut	CS202212150_5223
29	L2/3 IT CTX Glut_1	0029 L2/3 IT CTX Glut_1	7	L2/3 IT CTX Glut	007 L2/3 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	CS202212150_5224
30	L2/3 IT CTX Glut_2	0030 L2/3 IT CTX Glut_2	7	L2/3 IT CTX Glut	007 L2/3 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	CS202212150_5225
31	L2/3 IT CTX Glut_3	0031 L2/3 IT CTX Glut_3	7	L2/3 IT CTX Glut	007 L2/3 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	CS202212150_5226
32	L2/3 IT CTX Glut_4	0032 L2/3 IT CTX Glut_4	7	L2/3 IT CTX Glut	007 L2/3 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	CS202212150_5227
33	L2/3 IT ENT Glut_1	0033 L2/3 IT ENT Glut_1	8	L2/3 IT ENT Glut	008 L2/3 IT ENT Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	CS202212150_5228
34	L2/3 IT ENT Glut_2	0034 L2/3 IT ENT Glut_2	8	L2/3 IT ENT Glut	008 L2/3 IT ENT Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	CS202212150_5229
35	L2/3 IT ENT Glut_3	0035 L2/3 IT ENT Glut_3	8	L2/3 IT ENT Glut	008 L2/3 IT ENT Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	CS202212150_5230
36	L2/3 IT ENT Glut_4	0036 L2/3 IT ENT Glut_4	8	L2/3 IT ENT Glut	008 L2/3 IT ENT Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	CS202212150_5231
37	L2/3 IT ENT Glut_5	0037 L2/3 IT ENT Glut_5	8	L2/3 IT ENT Glut	008 L2/3 IT ENT Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	CS202212150_5232
38	L2/3 IT ENT Glut_6	0038 L2/3 IT ENT Glut_6	8	L2/3 IT ENT Glut	008 L2/3 IT ENT Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	CS202212150_5233
39	L2/3 IT ENTl-PIR Glut_1	0039 L2/3 IT ENTl-PIR Glut_1	9	L2/3 IT ENTl-PIR Glut	009 L2/3 IT ENTl-PIR Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:28,IT-ET:28	Glut	CS202212150_5234
40	L2/3 IT ENTl-PIR Glut_2	0040 L2/3 IT ENTl-PIR Glut_2	9	L2/3 IT ENTl-PIR Glut	009 L2/3 IT ENTl-PIR Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:28,IT-ET:28	Glut	CS202212150_5235
41	L2/3 IT ENTl-PIR Glut_3	0041 L2/3 IT ENTl-PIR Glut_3	9	L2/3 IT ENTl-PIR Glut	009 L2/3 IT ENTl-PIR Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:28,IT-ET:28	Glut	CS202212150_5236
42	L2/3 IT ENTl-PIR Glut_4	0042 L2/3 IT ENTl-PIR Glut_4	9	L2/3 IT ENTl-PIR Glut	009 L2/3 IT ENTl-PIR Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:28,IT-ET:28	Glut	CS202212150_5237
43	L2/3 IT ENTl-PIR Glut_5	0043 L2/3 IT ENTl-PIR Glut_5	9	L2/3 IT ENTl-PIR Glut	009 L2/3 IT ENTl-PIR Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:28,IT-ET:28	Glut	CS202212150_163
44	L2/3 IT ENTl-PIR Glut_6	0044 L2/3 IT ENTl-PIR Glut_6	9	L2/3 IT ENTl-PIR Glut	009 L2/3 IT ENTl-PIR Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:28,IT-ET:28	Glut	CS202212150_5238
45	IT AON-TT-DP Glut_1	0045 IT AON-TT-DP Glut_1	10	IT AON-TT-DP Glut	010 IT AON-TT-DP Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:20,IT-ET:20	Glut	CS202212150_5239
46	IT AON-TT-DP Glut_2	0046 IT AON-TT-DP Glut_2	10	IT AON-TT-DP Glut	010 IT AON-TT-DP Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:20,IT-ET:20	Glut	CS202212150_5240
47	IT AON-TT-DP Glut_3	0047 IT AON-TT-DP Glut_3	10	IT AON-TT-DP Glut	010 IT AON-TT-DP Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:20,IT-ET:20	Glut	CS202212150_5241
48	IT AON-TT-DP Glut_4	0048 IT AON-TT-DP Glut_4	10	IT AON-TT-DP Glut	010 IT AON-TT-DP Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:20,IT-ET:20	Glut	CS202212150_5242
49	IT AON-TT-DP Glut_5	0049 IT AON-TT-DP Glut_5	10	IT AON-TT-DP Glut	010 IT AON-TT-DP Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:20,IT-ET:20	Glut	CS202212150_5243
50	L2 IT ENT-po Glut_1	0050 L2 IT ENT-po Glut_1	11	L2 IT ENT-po Glut	011 L2 IT ENT-po Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:6,IT-ET:6	Glut	CS202212150_5244
51	L2 IT ENT-po Glut_2	0051 L2 IT ENT-po Glut_2	11	L2 IT ENT-po Glut	011 L2 IT ENT-po Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:6,IT-ET:6	Glut	CS202212150_5245
52	L2 IT ENT-po Glut_3	0052 L2 IT ENT-po Glut_3	11	L2 IT ENT-po Glut	011 L2 IT ENT-po Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:6,IT-ET:6	Glut	CS202212150_190
53	L2 IT ENT-po Glut_4	0053 L2 IT ENT-po Glut_4	11	L2 IT ENT-po Glut	011 L2 IT ENT-po Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:6,IT-ET:6	Glut	CS202212150_191
54	MEA Slc17a7 Glut_1	0054 MEA Slc17a7 Glut_1	12	MEA Slc17a7 Glut	012 MEA Slc17a7 Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:23,IT-ET:23	Glut	CS202212150_5246
55	MEA Slc17a7 Glut_2	0055 MEA Slc17a7 Glut_2	12	MEA Slc17a7 Glut	012 MEA Slc17a7 Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:23,IT-ET:23	Glut	CS202212150_5247
56	MEA Slc17a7 Glut_3	0056 MEA Slc17a7 Glut_3	12	MEA Slc17a7 Glut	012 MEA Slc17a7 Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:23,IT-ET:23	Glut	CS202212150_5248
57	COAp Grxcr2 Glut_1	0057 COAp Grxcr2 Glut_1	13	COAp Grxcr2 Glut	013 COAp Grxcr2 Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:6,IT-ET:6	Glut	CS202212150_215
58	COAp Grxcr2 Glut_2	0058 COAp Grxcr2 Glut_2	13	COAp Grxcr2 Glut	013 COAp Grxcr2 Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:6,IT-ET:6	Glut	CS202212150_5249
59	LA-BLA-BMA-PA Glut_1	0059 LA-BLA-BMA-PA Glut_1	14	LA-BLA-BMA-PA Glut	014 LA-BLA-BMA-PA Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:31,IT-ET:31	Glut	CS202212150_5250
60	LA-BLA-BMA-PA Glut_2	0060 LA-BLA-BMA-PA Glut_2	14	LA-BLA-BMA-PA Glut	014 LA-BLA-BMA-PA Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:31,IT-ET:31	Glut	CS202212150_5251
61	LA-BLA-BMA-PA Glut_3	0061 LA-BLA-BMA-PA Glut_3	14	LA-BLA-BMA-PA Glut	014 LA-BLA-BMA-PA Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:31,IT-ET:31	Glut	CS202212150_5252
62	LA-BLA-BMA-PA Glut_4	0062 LA-BLA-BMA-PA Glut_4	14	LA-BLA-BMA-PA Glut	014 LA-BLA-BMA-PA Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:31,IT-ET:31	Glut	CS202212150_5253
63	LA-BLA-BMA-PA Glut_5	0063 LA-BLA-BMA-PA Glut_5	14	LA-BLA-BMA-PA Glut	014 LA-BLA-BMA-PA Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:31,IT-ET:31	Glut	CS202212150_5254
64	LA-BLA-BMA-PA Glut_6	0064 LA-BLA-BMA-PA Glut_6	14	LA-BLA-BMA-PA Glut	014 LA-BLA-BMA-PA Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:31,IT-ET:31	Glut	CS202212150_5255
65	COAp-TR-ENTmv Glut_1	0065 COAp-TR-ENTmv Glut_1	15	COAp-TR-ENTmv Glut	015 COAp-TR-ENTmv Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:9,IT-ET:9	Glut	CS202212150_5256
66	COAp-TR-ENTmv Glut_2	0066 COAp-TR-ENTmv Glut_2	15	COAp-TR-ENTmv Glut	015 COAp-TR-ENTmv Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:9,IT-ET:9	Glut	CS202212150_5257
67	COAp-TR-ENTmv Glut_3	0067 COAp-TR-ENTmv Glut_3	15	COAp-TR-ENTmv Glut	015 COAp-TR-ENTmv Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:9,IT-ET:9	Glut	CS202212150_5258
68	CA1-ProS Glut_1	0068 CA1-ProS Glut_1	16	CA1-ProS Glut	016 CA1-ProS Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:35,IT-ET:35	Glut	CS202212150_5259
69	CA1-ProS Glut_2	0069 CA1-ProS Glut_2	16	CA1-ProS Glut	016 CA1-ProS Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:35,IT-ET:35	Glut	CS202212150_5260
70	CA1-ProS Glut_3	0070 CA1-ProS Glut_3	16	CA1-ProS Glut	016 CA1-ProS Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:35,IT-ET:35	Glut	CS202212150_5261
71	CA1-ProS Glut_4	0071 CA1-ProS Glut_4	16	CA1-ProS Glut	016 CA1-ProS Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:35,IT-ET:35	Glut	CS202212150_5262
72	CA1-ProS Glut_5	0072 CA1-ProS Glut_5	16	CA1-ProS Glut	016 CA1-ProS Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:35,IT-ET:35	Glut	CS202212150_5263
73	CA1-ProS Glut_6	0073 CA1-ProS Glut_6	16	CA1-ProS Glut	016 CA1-ProS Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:35,IT-ET:35	Glut	CS202212150_5264
74	CA3 Glut_1	0074 CA3 Glut_1	17	CA3 Glut	017 CA3 Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:23,IT-ET:23	Glut	CS202212150_5265
75	CA3 Glut_2	0075 CA3 Glut_2	17	CA3 Glut	017 CA3 Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:23,IT-ET:23	Glut	CS202212150_5266
76	CA3 Glut_3	0076 CA3 Glut_3	17	CA3 Glut	017 CA3 Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:23,IT-ET:23	Glut	CS202212150_5267
77	CA3 Glut_4	0077 CA3 Glut_4	17	CA3 Glut	017 CA3 Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:23,IT-ET:23	Glut	CS202212150_5268
78	CA3 Glut_5	0078 CA3 Glut_5	17	CA3 Glut	017 CA3 Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:23,IT-ET:23	Glut	CS202212150_5269
79	L2 IT PPP-APr Glut_1	0079 L2 IT PPP-APr Glut_1	18	L2 IT PPP-APr Glut	018 L2 IT PPP-APr Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:11,IT-ET:11	Glut	CS202212150_5270
80	L2 IT PPP-APr Glut_2	0080 L2 IT PPP-APr Glut_2	18	L2 IT PPP-APr Glut	018 L2 IT PPP-APr Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:11,IT-ET:11	Glut	CS202212150_5271
