defined_class	cell_set_accession	Taxonomy_label	Exclude_from_ontology	defined_class_name	defined_class_definition	Curated_synonyms	Classification	Classification_comment	Classification_pub	Expresses	Expresses_comment	Expresses_pub	Projection_type	Layers	Cross_species_text	Comment
http://purl.obolibrary.org/obo/PCL_0110145	CS20230722_SUBC_085	085 SI-MPO-LPO Lhx8 Gaba														
http://purl.obolibrary.org/obo/PCL_0110146	CS20230722_SUBC_086	086 MPO-ADP Lhx8 Gaba														
http://purl.obolibrary.org/obo/PCL_0110147	CS20230722_SUBC_087	087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba														
http://purl.obolibrary.org/obo/PCL_0110148	CS20230722_SUBC_088	088 BST Tac2 Gaba														
http://purl.obolibrary.org/obo/PCL_0110149	CS20230722_SUBC_089	089 PVR Six3 Sox3 Gaba														
http://purl.obolibrary.org/obo/PCL_0110150	CS20230722_SUBC_090	090 BST-MPN Six3 Nrgn Gaba														
http://purl.obolibrary.org/obo/PCL_0110151	CS20230722_SUBC_091	091 ARH-PVi Six6 Dopa-Gaba														
http://purl.obolibrary.org/obo/PCL_0110152	CS20230722_SUBC_092	092 TMv-PMv Tbx3 Hist-Gaba														
http://purl.obolibrary.org/obo/PCL_0110153	CS20230722_SUBC_093	093 RT-ZI Gnb3 Gaba														
http://purl.obolibrary.org/obo/PCL_0110154	CS20230722_SUBC_094	094 SCH Six6 Cdc14a Gaba														
http://purl.obolibrary.org/obo/PCL_0110155	CS20230722_SUBC_095	095 DMH Prdm13 Gaba														
http://purl.obolibrary.org/obo/PCL_0114005	CS20230722_CLUS_1625	096 PVHd Gsc Gaba														
http://purl.obolibrary.org/obo/PCL_0110157	CS20230722_SUBC_097	097 PVHd-SBPV Six3 Prox1 Gaba														
http://purl.obolibrary.org/obo/PCL_0110158	CS20230722_SUBC_098	098 AHN-SBPV-PVHd Pdrm12 Gaba														
http://purl.obolibrary.org/obo/PCL_0110159	CS20230722_SUBC_099	099 SBPV-PVa Six6 Satb2 Gaba														
http://purl.obolibrary.org/obo/PCL_0110160	CS20230722_SUBC_100	100 AHN Onecut3 Gaba														
http://purl.obolibrary.org/obo/PCL_0110161	CS20230722_SUBC_101	101 ZI Pax6 Gaba														
http://purl.obolibrary.org/obo/PCL_0110162	CS20230722_SUBC_102	102 DMH-LHA Gsx1 Gaba														
http://purl.obolibrary.org/obo/PCL_0110163	CS20230722_SUBC_103	103 PVHd-DMH Lhx6 Gaba														
http://purl.obolibrary.org/obo/PCL_0110164	CS20230722_SUBC_104	104 TU-ARH Otp Six6 Gaba														
http://purl.obolibrary.org/obo/PCL_0111051	CS20230722_SUPT_0481	105 TMd-DMH Foxd2 Gaba														
http://purl.obolibrary.org/obo/PCL_0110166	CS20230722_SUBC_106	106 PVpo-VMPO-MPN Hmx2 Gaba														
http://purl.obolibrary.org/obo/PCL_0110167	CS20230722_SUBC_107	107 DMH Hmx2 Gaba														
http://purl.obolibrary.org/obo/PCL_0110168	CS20230722_SUBC_108	108 ARH-PVp Tbx3 Gaba														
http://purl.obolibrary.org/obo/PCL_0110169	CS20230722_SUBC_109	109 LGv-ZI Otx2 Gaba														
http://purl.obolibrary.org/obo/PCL_0114369	CS20230722_CLUS_1989	110 BST-po Iigp1 Glut														
http://purl.obolibrary.org/obo/PCL_0110171	CS20230722_SUBC_111	111 TRS-BAC Sln Glut														
http://purl.obolibrary.org/obo/PCL_0111074	CS20230722_SUPT_0504	112 GPi Tbr1 Cngb3 Gaba-Glut														
http://purl.obolibrary.org/obo/PCL_0110173	CS20230722_SUBC_113	113 MEA-COA-BMA Ccdc42 Glut														
http://purl.obolibrary.org/obo/PCL_0110174	CS20230722_SUBC_114	114 COAa-PAA-MEA Barhl2 Glut														
http://purl.obolibrary.org/obo/PCL_0111088	CS20230722_SUPT_0518	115 MS-SF Bsx Glut														
http://purl.obolibrary.org/obo/PCL_0110176	CS20230722_SUBC_116	116 AVPV-MEPO-SFO Tbr1 Glut														
http://purl.obolibrary.org/obo/PCL_0110177	CS20230722_SUBC_117	117 LHA Barhl2 Glut														
http://purl.obolibrary.org/obo/PCL_0110178	CS20230722_SUBC_118	118 ADP-MPO Trp73 Glut														
http://purl.obolibrary.org/obo/PCL_0110179	CS20230722_SUBC_119	119 SI-MA-LPO-LHA Skor1 Glut														
http://purl.obolibrary.org/obo/PCL_0111108	CS20230722_SUPT_0538	120 MEA Otp Foxp2 Glut														
http://purl.obolibrary.org/obo/PCL_0110181	CS20230722_SUBC_121	121 MEA-BST Otp Zic2 Glut														
http://purl.obolibrary.org/obo/PCL_0110182	CS20230722_SUBC_122	122 LHA-MEA Otp Glut														
http://purl.obolibrary.org/obo/PCL_0110183	CS20230722_SUBC_123	123 DMH Nkx2-4 Glut														
http://purl.obolibrary.org/obo/PCL_0110184	CS20230722_SUBC_124	124 MPN-MPO-PVpo Hmx2 Glut														
http://purl.obolibrary.org/obo/PCL_0110185	CS20230722_SUBC_125	125 DMH Hmx2 Glut														
http://purl.obolibrary.org/obo/PCL_0110186	CS20230722_SUBC_126	126 ARH-PVp Tbx3 Glut														
http://purl.obolibrary.org/obo/PCL_0110187	CS20230722_SUBC_127	127 DMH-LHA Vgll2 Glut														
http://purl.obolibrary.org/obo/PCL_0110188	CS20230722_SUBC_128	128 VMH Fezf1 Glut														
http://purl.obolibrary.org/obo/PCL_0110189	CS20230722_SUBC_129	129 VMH Nr5a1 Glut														
http://purl.obolibrary.org/obo/PCL_0110190	CS20230722_SUBC_130	130 LHA Pmch Glut														
http://purl.obolibrary.org/obo/PCL_0110191	CS20230722_SUBC_131	131 LHA-AHN-PVH Otp Trh Glut														
http://purl.obolibrary.org/obo/PCL_0110192	CS20230722_SUBC_132	132 AHN-RCH-LHA Otp Fezf1 Glut														
http://purl.obolibrary.org/obo/PCL_0110193	CS20230722_SUBC_133	133 PVH-SO-PVa Otp Glut														
http://purl.obolibrary.org/obo/PCL_0110194	CS20230722_SUBC_134	134 PH-ant-LHA Otp Bsx Glut														
http://purl.obolibrary.org/obo/PCL_0110195	CS20230722_SUBC_135	135 STN-PSTN Pitx2 Glut														
http://purl.obolibrary.org/obo/PCL_0110196	CS20230722_SUBC_136	136 PMv-TMv Pitx2 Glut														
http://purl.obolibrary.org/obo/PCL_0110197	CS20230722_SUBC_137	137 PH-an Pitx2 Glut														
http://purl.obolibrary.org/obo/PCL_0110198	CS20230722_SUBC_138	138 PH Pitx2 Glut														
http://purl.obolibrary.org/obo/PCL_0110199	CS20230722_SUBC_139	139 PH-LHA Foxb1 Glut														
http://purl.obolibrary.org/obo/PCL_0110200	CS20230722_SUBC_140	140 PMd-LHA Foxb1 Glut														
http://purl.obolibrary.org/obo/PCL_0110201	CS20230722_SUBC_141	141 PH-SUM Foxa1 Glut														
http://purl.obolibrary.org/obo/PCL_0111199	CS20230722_SUPT_0629	143 MM-ant Foxb1 Glut														
http://purl.obolibrary.org/obo/PCL_0110204	CS20230722_SUBC_144	144 MM Foxb1 Glut														
http://purl.obolibrary.org/obo/PCL_0110205	CS20230722_SUBC_145	145 MH Tac2 Glut														
http://purl.obolibrary.org/obo/PCL_0110206	CS20230722_SUBC_146	146 LH Pou4f1 Sox1 Glut														
http://purl.obolibrary.org/obo/PCL_0111211	CS20230722_SUPT_0641	147 AD Serpinb7 Glut														
http://purl.obolibrary.org/obo/PCL_0111212	CS20230722_SUPT_0642	148 AV Col27a1 Glut														
http://purl.obolibrary.org/obo/PCL_0110209	CS20230722_SUBC_149	149 PVT-PT Ntrk1 Glut														
http://purl.obolibrary.org/obo/PCL_0110210	CS20230722_SUBC_150	150 CM-IAD-CL-PCN Sema5b Glut														
http://purl.obolibrary.org/obo/PCL_0110211	CS20230722_SUBC_151	151 TH Prkcd Grin2c Glut														
http://purl.obolibrary.org/obo/PCL_0110212	CS20230722_SUBC_152	152 RE-Xi Nox4 Glut														
http://purl.obolibrary.org/obo/PCL_0110213	CS20230722_SUBC_153	153 MG-POL-SGN Nts Glut														
http://purl.obolibrary.org/obo/PCL_0110214	CS20230722_SUBC_154	154 PF Fzd5 Glut														
http://purl.obolibrary.org/obo/PCL_0110215	CS20230722_SUBC_155	155 PRC-PAG Pax6 Glut														
http://purl.obolibrary.org/obo/PCL_0111251	CS20230722_SUPT_0681	156 MB-ant-ve Dmrta2 Glut														
http://purl.obolibrary.org/obo/PCL_0115141	CS20230722_CLUS_2761	157 RN Spp1 Glut														
http://purl.obolibrary.org/obo/PCL_0110218	CS20230722_SUBC_158	158 MRN-PAG Nkx6-1 Glut														
http://purl.obolibrary.org/obo/PCL_0110219	CS20230722_SUBC_159	159 IF-RL-CLI-PAG Foxa1 Glut														
http://purl.obolibrary.org/obo/PCL_0110220	CS20230722_SUBC_160	160 PAG-SC Neurod2 Meis2 Glut														
http://purl.obolibrary.org/obo/PCL_0110221	CS20230722_SUBC_161	161 PAG Pou4f3 Glut														
http://purl.obolibrary.org/obo/PCL_0110222	CS20230722_SUBC_162	162 CUN Evx2 Lhx2 Glut														
http://purl.obolibrary.org/obo/PCL_0111272	CS20230722_SUPT_0702	163 APN C1ql2 Glut														
http://purl.obolibrary.org/obo/PCL_0111273	CS20230722_SUPT_0703	164 APN C1ql4 Glut														
http://purl.obolibrary.org/obo/PCL_0110225	CS20230722_SUBC_165	165 PAG-MRN Pou3f1 Glut														
http://purl.obolibrary.org/obo/PCL_0110226	CS20230722_SUBC_166	166 MRN Pou3f1 C1ql4 Glut														
http://purl.obolibrary.org/obo/PCL_0110227	CS20230722_SUBC_167	167 PRC-PAG Tcf7l2 Irx2 Glut														
http://purl.obolibrary.org/obo/PCL_0110228	CS20230722_SUBC_168	168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut														
